field_number,data_point,data_field_title,column_name,data_type,valid_value_codes,valid_value_descriptions,conditionality,instructions,rule_section,examples,validations
24,Pricing information,Adjustable rate transaction: index name,pricing_adj_index_name,Single response,1;2;3;4;5;6;7;8;9;10;977;999,Code 1 - Wall Street Journal Prime; Code 2 - 6-month CD rate; Code 3 - 1-year T-Bill; Code 4 - 3-year T-Bill; Code 5 - 5-year T-Note; Code 6 - 12-month average of 10-year T-Bill; Code 7 - Cost of Funds Index (COFI) - National; Code 8 - Cost of Funds Index (COFI) - 11th District; Code 9 - Constant Maturity Treasury (CMT); Code 10 - Internal Proprietary Index; Code 977 - Other; Code 999 - Not applicable,Required for all application records,"For originated credit and credit that is approved but not accepted, that has a covered adjustable rate component, indicate the index name by entering one of the specified codes.",12 CFR 1002.107(a)(12)(i)(B),,"Must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 977 or 999"
25,Pricing information,Adjustable rate transaction: index name: other,pricing_adj_index_name_ff,Text (width up to 300 characters),,,Conditionally required if 'adjustable rate transaction: index name' is code 977. Leave blank if code 977 is not entered.,Specify in text the other index name if code 977 is entered.,12 CFR 1002.107(a)(12)(i)(B),,Must not exceed 300 characters in length
26,Pricing information,Adjustable rate transaction: index value,pricing_adj_index_value,Numeric,,,Conditionally required if 'interest rate type' is code 1 or 3. Leave blank if codes 1 or 3 are not entered.,"For originated credit and credit that is approved but not accepted, that has a covered adjustable rate component, enter the index value used to set the rate that is or would be applicable to the covered transaction, as a percentage, to at least three (3) decimal places. Numbers calculated to beyond three (3) decimal places may either be reported beyond three (3) decimal places or rounded or truncated to three (3) decimal places. Decimal place trailing zeros may be either included or omitted.",12 CFR 1002.107(a)(12)(i)(B),"If 1.025%, enter 1.025; If 3.100%, enter 3.1, 3.10, or 3.100","When present, must be a numeric value"
27,Pricing information,Total origination charges,pricing_origination_charges,Numeric,,,Conditionally required if 'action taken' is code 1 or 2. Report not applicable by leaving blank if codes 1 or 2 are not entered.,"For originated credit and credit that is approved but not accepted, enter, in dollars, the amount of the total origination charges. Enter 0 if there are no origination charges associated with the application. Leave blank if this is not applicable because the application is denied, withdrawn, or incomplete.",12 CFR 1002.107(a)(12)(ii),"If $2,500, enter 2500 or 2500.00; If $2,582.91, enter 2582.91; If $0, enter 0; If -$100, enter -100","When present, must be a numeric value"
28,Pricing information,Amount of total broker fees,pricing_broker_fees,Numeric,,,Conditionally required if 'action taken' is code 1 or 2. Report not applicable by leaving blank if codes 1 or 2 are not entered.,"For originated credit and credit that is approved but not accepted, enter, in dollars, the amount of the total broker fees. Enter 0 if there are no broker fees associated with the application. Leave blank if this is not applicable because the application is denied, withdrawn, or incomplete.",12 CFR 1002.107(a)(12)(iii),"If $1,125, enter 1125 or 1125.00; If $1,125.76, enter 1125.76; If $0, enter 0","When present, must be a numeric value"
29,Pricing information,Initial annual charges,pricing_initial_charges,Numeric,,,Conditionally required if 'action taken' is code 1 or 2. Report not applicable by leaving blank if codes 1 or 2 are not entered.,"For originated credit and credit that is approved but not accepted, enter, in dollars, the amount of the total non-interest charges scheduled to be imposed over the first annual period. Enter 0 if there are no non-interest charges scheduled to be imposed over the first annual period. Leave blank if this is not applicable because the application is denied, withdrawn, or incomplete.",12 CFR 1002.107(a)(12)(iv),"If $1,034, enter 1034 or 1034.00; If $1,034.97, enter 1034.97; If $0, enter 0","When present, must be a numeric value"
30,Pricing information,MCA/sales-based: additional cost for merchant cash advances or other sales-based financing: NA flag,pricing_mca_addcost_flag,Single response,900;999,Code 900 - Applicable; Code 999 - Not applicable,Required for all application records,Indicate whether 'MCA/sales-based: additional cost for merchant cash advances or other sales-based financing' is applicable by entering one of the specified codes.,12 CFR 1002.107(a)(12)(v),,Must equal 900 or 999
31,Pricing information,MCA/sales-based: additional cost for merchant cash advances or other sales-based financing,pricing_mca_addcost,Numeric,,,Conditionally required if 'MCA/sales-based: additional cost for merchant cash advances or other sales-based financing: NA flag' is code 900. Leave blank if code 900 is not entered.,"For originated credit and credit that is approved but not accepted, if a merchant cash advance or other sales-based financing transaction, enter, in dollars, the difference between the amount advanced and the amount to be repaid.",12 CFR 1002.107(a)(12)(v),"If $3,500, enter 3500 or 3500.00; If $3,527.14, enter 3527.14; If $0, enter 0","When present, must be a numeric value"
32,Pricing information,Prepayment penalty could be imposed,pricing_prepenalty_allowed,Single response,1;2;999,Code 1 - Yes; Code 2 - No; Code 999 - Not applicable,Required for all application records,"For originated credit and credit that is approved but not accepted, indicate whether a prepayment penalty could be included under current policies and procedures by entering one of the specified codes.",12 CFR 1002.107(a)(12)(vi)(A),,"Must equal 1, 2 or 999"
33,Pricing information,Prepayment penalty exists,pricing_prepenalty_exists,Single response,1;2;999,Code 1 - Yes; Code 2 - No; Code 999 - Not applicable,Required for all application records,"For originated credit and credit that is approved but not accepted, indicate whether the terms of the transaction include a prepayment penalty by entering one of the specified codes.",12 CFR 1002.107(a)(12)(vi)(B),,"Must equal 1, 2 or 999"
34,Census tract,Type of address,census_tract_adr_type,Single response,1;2;3;988,Code 1 - Address or location where the loan proceeds will principally be applied; Code 2 - Address or location of borrower's main office or headquarters; Code 3 - Another address or location associated with the applicant; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate the type of address or location used to determine the census tract by entering one of the specified codes.,12 CFR 1002.107(a)(13),,"Must equal 1, 2, 3 or 988"
35,Census tract,Tract number,census_tract_number,Special (width 11 characters),,,"Conditionally required if 'type of address' is code 1, 2, or 3. Leave blank if code 988 is entered.","Enter the 11-digit census tract number as defined by the U.S. Census Bureau of the appropriate one of the following:<ul><li>Address where the loan proceeds will principally be applied, if known</li><li>If the proceeds address is not known, location of borrower's main office or headquarters</li><li>If neither of those addresses are known, another address or location associated with the applicant</li></ul>Do not use decimals.",12 CFR 1002.107(a)(13),"06037264000 (a census tract within Los Angeles County, CA)","When present, must be a GEOID with exactly 11 digits; When present, should be a valid census tract GEOID as defined by the U.S. Census Bureau"
36,Gross annual revenue,Gross annual revenue: NP flag,gross_annual_revenue_flag,Single response,900;988,Code 900 - Provided; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether 'gross annual revenue' is reported by entering one of the specified codes.,12 CFR 1002.107(a)(14),,Must equal 900 or 988
37,Gross annual revenue,Gross annual revenue,gross_annual_revenue,Numeric,,,Conditionally required if 'gross annual revenue: NP flag' is code 900. Leave blank if code 900 is not entered.,"Enter the dollar amount of the applicant's gross annual revenue for its preceding full fiscal year. A financial institution is permitted, but not required, to report the gross annual revenue for the applicant that includes the revenue of affiliates as well. If a business has no gross annual revenue to report (e.g., a startup, a new line of business, and/or a business with a change in structure or ownership), the financial institution would report that the applicant's gross annual revenue in its preceding full fiscal year is 0.",12 CFR 1002.107(a)(14),"If $855,430, enter 855430 or 855430.00; If $855,430.17, enter 855430.17; If $0, enter 0","When present, must be a numeric value"
38,North American Industry Classification System (NAICS) code,North American Industry Classification System (NAICS) code: NP flag,naics_code_flag,Single response,900;988,Code 900 - Reported; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether NAICS code is provided by entering one of the specified codes.,12 CFR 1002.107(a)(15),,Must equal 900 or 988
39,North American Industry Classification System (NAICS) code,North American Industry Classification System (NAICS) code,naics_code,Special (width 3 characters),,,Conditionally required if 'North American Industry Classification System (NAICS) code: NP flag' is code 900. Leave blank if code 900 is not entered.,Enter a three-digit NAICS code appropriate for the applicant.,12 CFR 1002.107(a)(15),311 (a business engaged in the food processing sector),"When present, must be exactly three numeric characters; When present, should be a valid NAICS code"
40,Number of workers,Number of workers,number_of_workers,Single response,1;2;3;4;5;6;7;8;9;988,Code 1 - Firms with no workers; Code 2 - Firms with 1 to 4 workers; Code 3 - Firms with 5 to 9 workers; Code 4 - Firms with 10 to 19 workers; Code 5 - Firms with 20 to 49 workers; Code 6 - Firms with 50 to 99 workers; Code 7 - Firms with 100 to 249 workers; Code 8 - Firms with 250 to 499 workers; Code 9 - Firms with 500 workers or more; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,"Indicate the range of the number of workers by entering one of the specified codes. Includes full-time, part-time, and seasonal workers as well as contractors working primarily for the applicant but does not include principal owners.",12 CFR 1002.107(a)(16),,"Must equal 1, 2, 3, 4, 5, 6, 7, 8, 9 or 988"
41,Time in business,Type of response,time_in_business_type,Single response,1;2;3;988,Code 1 - The number of years the applicant has been in business is collected or obtained by the financial institution; Code 2 - Applicant has been in business less than two years; Code 3 - Applicant has been in business two or more years; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether the applicant provided information on 'time in business' by entering one of the specified codes.,12 CFR 1002.107(a)(17),,"Must equal 1, 2, 3, or 988"
42,Time in business,Time in business,time_in_business,Numeric,,,Conditionally required if 'time in business: type of response' is code 1. Leave blank if code 1 is not entered.,"Enter the number of years the applicant has been in business, as collected or obtained by the financial institution, rounding down to the nearest whole number of years.",12 CFR 1002.107(a)(17),12,"When present, must be a whole number; When present, must be greater than or equal to 0"
43,"Minority-owned, women-owned, and LGBTQI+-owned business statuses",Business ownership status,business_ownership_status,Multiple response,1;2;3;955;966;988,Code 1 - Minority-owned business; Code 2 - Women-owned business; Code 3 - LGBTQI+-owned business; Code 955 - None of these apply; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Required for all application records,"Indicate whether the applicant is a minority-owned, women-owned, and/or LGBTQI+-owned business by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one applicable business ownership status, enter each, in any order, separated by a semicolon. If the applicant reports that they are a women-owned, minority-owned, and/or LGBTQI+-owned business but also responds that they do not wish to provide this information, enter codes 1, 2, and/or 3 as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(18),"If women-owned, enter 2; If women-owned and LGBTQI+-owned, enter 2;3 or 3;2; If LGBTQI+-owned and the applicant responded that they did not wish to provide this information, enter 3","Each value (separated by semicolons) must equal 1, 2, 3, 955, 966, or 988; Must contain at least one value; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
44,Number of principal owners,Number of principal owners: NP flag,num_principal_owners_flag,Single response,900;988,Code 900 - Reported; Code 988 - Not provided by applicant and otherwise undetermined,Required for all application records,Indicate whether number of principal owners is provided by entering one of the specified codes.,12 CFR 1002.107(a)(20),,Must equal 900 or 988
45,Number of principal owners,Number of principal owners,num_principal_owners,Single response,,,Conditionally required if 'number of principal owners: NP flag' is code 900. Leave blank if code 900 is not entered.,"Enter the number of the applicant's principal owners. If no principal owner has at least 25% ownership of the business, enter 0.",12 CFR 1002.107(a)(20),,"When present, must equal 0, 1, 2, 3, or 4"
46,Demographic information of principal owner 1,Ethnicity of principal owner 1,po_1_ethnicity,Multiple response,1;11;12;13;14;2;966;977;988,Code 1 - Hispanic or Latino; Code 11 - Mexican; Code 12 - Puerto Rican; Code 13 - Cuban; Code 14 - Other Hispanic or Latino Ethnicity; Code 2 - Not Hispanic or Latino; Code 966 - The applicant responded that they did not wish to provide this information; Code 977 - The applicant responded in the free-form text field; Code 988 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the ethnicity of the applicant's principal owner 1 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects an ethnicity for a principal owner or responds in the free-form text field but also responds that they do not wish to provide this information, enter the ethnicity codes (1, 11, 12, 13, 14, 2, and/or 977) as appropriate. Do not report code 966 if any other codes apply. If an applicant responds in the free-form text field, but does not select Other Hispanic or Latino, you are permitted, but not required, to report Other Hispanic or Latino.",12 CFR 1002.107(a)(19),"If Mexican, enter 11; If Mexican and Puerto Rican, enter 11;12 or 12;11; If Mexican and the applicant responded that they did not wish to provide this information, enter 11; If responded Argentinean in the free form-text field but the applicant did not select Other Hispanic or Latino ethnicity, enter 977. May also enter 14.","When present, each value (separated by semicolons) must equal 1, 11, 12, 13, 14, 2, 966, 977, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
47,Demographic information of principal owner 1,Ethnicity of principal owner 1: free-form text field for other Hispanic or Latino ethnicity,po_1_ethnicity_ff,Text (width up to 300 characters),,,Conditionally required if 'ethnicity of principal owner 1' contains code 977. Report not applicable by leaving blank if code 977 is not entered.,"Specify in text the other Hispanic or Latino ethnicity if code 977 is entered. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Guatemalan,Must not exceed 300 characters in length
48,Demographic information of principal owner 1,Race of principal owner 1,po_1_race,Multiple response,1;2;21;22;23;24;25;26;27;3;31;32;33;34;35;36;37;4;41;42;43;44;5;966;971;972;973;974;988,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 21 - Asian Indian; Code 22 - Chinese; Code 23 - Filipino; Code 24 - Japanese; Code 25 - Korean; Code 26 - Vietnamese ; Code 27 - Other Asian Race; Code 3 - Black or African American; Code 31 - African American; Code 32 - Ethiopian; Code 33 - Haitian; Code 34 - Jamaican; Code 35 - Nigerian; Code 36 - Somali; Code 37 - Other Black or African American Race; Code 4 - Native Hawaiian or Other Pacific Islander; Code 41 - Native Hawaiian; Code 42 - Guamanian or Chamorro; Code 43 - Samoan; Code 44 - Other Pacific Islander Race; Code 5 - White; Code 966 - The applicant responded that they did not wish to provide this information; Code 971 - The applicant responded in the free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe; Code 972 - The applicant responded in the free-form text field for Other Asian race; Code 973 - The applicant responded in the free-form text field for Other Black or African race; Code 974 - The applicant responded in the free-form text field for Other Pacific Islander race; Code 988 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the race of the applicant's principal owner 1 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one race for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects a race for a principal owner or responds in a free-form text field but also responds that they do not wish to provide this information, enter the race codes (1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 971, 972, 973, and/or 974) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19),"If Haitian and White, enter 33;5 or 5;33; If Asian and the applicant responded that they did not wish to provide this information, enter 2.; If responded Thai in the free form-text field for other Asian race but the applicant did not select Other Asian race, enter 972. May also enter 27.","When present, each value (separated by semicolons) must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 966, 971, 972, 973, 974, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
49,Demographic information of principal owner 1,Race of principal owner 1: free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe,po_1_race_anai_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 971. Report not applicable by leaving blank if code 971 is not entered,"Specify in text the principal owner 1's American Indian or Alaska Native Enrolled or Principal Tribe if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Navajo,Must not exceed 300 characters in length
