County	Alabama	Mobile County		Mobile County Treasury Emergency Rental and Utility Assistance	Due to the COVID-19 pandemic, many Mobile County families are struggling to make ends meet. To assist during these hard times, Mobile County will launch the Emergency Rental Assistance (ERA) Program to aid eligible households in need of rental and utility assistance.	https://www.mobilecountyal.gov/grants/rental-and-utility-assistance/		Applications on hold/Waitlist	Mobile County, Legal Services Alabama	Public-private collaboration	Unspecified	Case management	$22,169,574.90	Treasury ERA1 and Treasury ERA2	Both	15 months			Yes		Electricity, gas, water and sewer, trash removal, and energy costs	No		Both	Yes	5 days	Prioritization required, Process established on website	Tenants with need for rental assistance	Other	80% AMI or less, Hardship during OR due to COVID, Housing Instability, Any govt. ID, Current Lease	Eviction Notice, Past Due Rent, unsafe housing	Yes	Self-Attestation Permitted	COVID Hardship	Unspecified	W-9/Payee Information, Eviction Restrictions During Covered Period	https://www.fox10tv.com/news/mobile_county/mobile-county-to-provide-12-3-million-in-emergency-rental-assistance-to-residents-in-need/article_615e71b6-72d1-11eb-9f17-679aae67282f.html						3/1/2021	7/22/2022	Mobile County, Alabama	30.6082227, -88.24611829999999
County	Alabama	Montgomery County		Emergency Rental Assistance Montgomery County (ERAMCo)	LANDLORDS: Are some of your tenants behind on their rent? TENANTS: Can’t pay rent or utility bills? Emergency Rental Assistance Montgomery County (ERAMCo) is here to help. COVID-19 has affected residents across the state. We have emergency funds available to help Montgomery County residents pay rent and utility bills (including past due rent and utilities).	https://www.mc-ala.org/services/emergency-rental-assistance-montgomery-county		Accepting applications	Montgomery County	Single agency (public sector)	Unspecified	n/a	$14,789,315.30	Treasury ERA1 and Treasury ERA2	Both	15 months	15 months		Yes		electric, home energey	Yes	Internet	Both	Yes	10-14 days	Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship during OR due to COVID, Housing Instability, State-issued govt. ID, Current Lease	Eviction Notice, Past Due Rent, Live in unsafe or unhealthy housing conditions	Yes	Self-Attestation Permitted	Income Non-Traditional, COVID Hardship	Unspecified	W-9/Payee Information, Rental Ledger/ Lease, Proof of ownership	https://www.mc-ala.org/home/showpublisheddocument/5085/637552901185130000						4/22/2021	7/22/2022	Montgomery County, Alabama	32.2077447, -86.17517590000001
County	Alabama	Tuscaloosa County		Tuscaloosa County Emergency Rental Assistance Program	Tuscaloosa County Emergency Rental Assistance Program (TCERAP) is here to help. COVID-19 has affected residents across the state. We have emergency funds available to help Tuscaloosa County residents pay rent and utility bills (including past due rent and utilities).	https://www.tuscco.com/erap/		Program permanently closed	Tuscaloosa County , LSA	Public-private collaboration	Unspecified	Case management	$12,919,858.50	Treasury ERA1 and Treasury ERA2	Both	15 months	15 months		Yes		electricity, gas, water and sewer, trash removal, and energy costs	Yes	Internet	Both	Yes	21 days	Prioritization required, Process established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, State-issued govt. ID, Current Lease	Eviction Notice, Past Due Rent, Unsafe or unhealthy housing conditions	Yes	Self-Attestation Permitted	Income Non-Traditional, COVID Hardship	Unspecified	W-9/Payee Information, Rental Ledger/ Lease							7/13/2021	7/22/2022	Tuscaloosa County, Alabama	33.3227653, -87.460397
Tribal Government	Alabama		Mowa Choctaw Housing Authority	Mowa Choctaw Emergency Rental Assistance	 MoWa Choctaw Housing Authority is a tribally designated housing entity established to access, construct, and manage housing for tribal members. The Mowa Choctaw Housing Authority operates and maintains an affordable, safe, and decent rental housing and home ownership program within the counties of Mobile and Washington.  MCHA staff is available to assist with completing an application in our office in Mt. Vernon, AL.	https://mowachoctawhousingauthority.com/		Accepting applications	Mowa Choctaw Housing Authority	Single agency (public sector)	Unspecified	n/a	$3,083,078.09	Treasury ERA1 only	Both	15 months	12 months		Yes		utility and home energy costs	Unknown		Both	Yes		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease		Unknown	Unknown		Unspecified		https://mowachoctawhousingauthority.com/wp-content/uploads/2021/04/Emergency-Rental-Assistance-Information.jpg						4/23/2021	7/22/2022	Mowa Choctaw Housing Authority	31.146051, -88.05881
State	Alaska			Alaska Housing Relief	Are you struggling with rent and utility payments? Alaska Housing Rent Relief provides up to 12 months of rent and/or utility relief ​​​​​​to eligible Alaskans unable to pay rent and utilities due to the COVID-19 pandemic. Even if you've received rent relief from AHFC in the past, you can apply to this new program! The Alaska Housing Rent Relief application period ​opens on February 16th.	https://www.alaskahousingrelief.org/	State of Alaska, Anchorage, Alatna Tribal Council, Aleut Community of St. Paul Island, Arctic Village, Asa'carsarmiut Tribal Council, Association of Village Council Presidents (AVCP) Regional Housing Authority, Baranof Island Housing Authority (Sitka Tribe of Alaska), Chickaloon Native Village, Cook Inlet Housing Authority, Eklutna Native Village, Hoonah Indian Association, Iliamna Village Council, Ketchikan Indian Corporation, Knik Tribal Council, Kodiak Island Housing Authority, Metlakatla Housing Authority, Native Village of Barrow, Native Village of Eyak, Native Village of Fort Yukon, Native Village of Kotzebue, Native Village of Kwinhagak, Native Village of Point Hope, Native Village of Unalakleet, Newhalen Village, Ninilchik Village, North Pacific Rim Housing Authority, Northwest Inupiat Housing Authority, Nulato Village, Orutsararmiut Traditional Native Council, Sleetmute Traditional Council, Taġiuġmiullu Nunamiullu Housing Authority, Tlingit Haida Regional Housing Authority, Venetie Village Council, Village of Aniak.	Applications on hold/Waitlist	Alaska Housing Finance Corporation	Single agency (public sector)	Unspecified	n/a	$437,893,986.27	Treasury ERA1 and Treasury ERA2	Both	12 months			Yes	12 months	Electricity, Natural gas, Trash removal, Water/sewer, Home-heating fuel or oil, Propane, Firewood, Woodstove pellets	No		Tenant	No		Prioritization required, Process not established on website		Lottery	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs		Yes	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information, Eviction Restrictions During Covered Period	https://www.alaskahousingrelief.org/renters	https://www.alaskahousingrelief.org/	https://www.adn.com/alaska-news/anchorage/2021/02/09/anchorage-renters-can-soon-apply-for-up-to-12-months-of-pandemic-financial-help/				2/15/2021	7/22/2022	Alaska	64.2008413, -149.4936733
Tribal Government	Alaska		Aleutian Housing Authority	Aleutian Housing Authority Emergency Rental Assistance Programs	The Aleutian Housing Authority (AHA) was allocated over $3 million from the U.S. Department of Treasury for the implementation of the Emergency Rental Assistance (ERA) program on behalf of our partner Tribes. The ERA program provides up to 12 months of financial assistance to eligible tribal and other AI/AN households residing in the Aleutian and Pribilof Islands region.	http://ahaak.org/Emergency-Rental-Assistance.html		Accepting applications	Aleutian Housing Authority	Single agency (public sector)	Unspecified	n/a	$3,386,953.26	Treasury ERA1 only	Both	12 months			Yes	12 months		Yes	Relocation Expenses, Late Fees, Internet, Uncategorized Housing Expenses	Tenant	No		Prioritization required, Process established on website		Other	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card	Eviction Notice, Past Due Rent, Past due utility, living in overcrowded conditions, delying purchase of essential goods/service to pay for rent, relying on credit cards or payday lenders to pay for rent, depleting savings to pay for rent	Unknown	Unknown		Unspecified	W-9/Payee Information	http://ahaak.org/Emergency-Rental-Assistance.html	http://ahaak.org/ERAP_Application_Package_-Fillable.pdf					6/17/2021	7/22/2022	Aleutian Housing Authority	61.191806, -149.87513
Tribal Government	Alaska		Bering Straits Regional Housing Authority	Bering Straits Regional Housing Authority Emergency Rental Assistance Program	BSRHA was allocated over $8 Million from the U.S. Department of Treasury for the implementation of the Emergency Rental Assistance (ERA) program on behalf of our partner Tribes. The ERA program provides up to 12 months of financial assistance to eligible tribal and other AI/AN households residing in the Bering Straits region.	https://www.bsrha.org/emergency-rental-assitance		Accepting applications	Bering Straits Regional Housing Authority	Single agency (public sector)	Unspecified	n/a	$8,040,729.02	Treasury ERA1 only	Both	12 months			Yes	12 months		Yes	Relocation Expenses, Late Fees, Internet, Uncategorized Housing Expenses	Tenant	Unknown		Prioritization required, Process established on website	Tribal members	Other	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card	Eviction Notice, Past Due Rent, Past due utility, living in overcrowded conditions, delying purchase of essential goods/service to pay for rent, relying on credit cards or payday lenders to pay for rent, depleting savings to pay for rent	Unknown	Unknown		Unspecified	W-9/Payee Information	https://www.bsrha.org/emergency-rental-assitance	https://fd073ef3-793b-40b2-9913-220ba261ec72.filesusr.com/ugd/5b5c80_00997d7430844e0b83f040bd020acb6d.pdf					6/17/2021	7/22/2022	Bering Straits Regional Housing Authority	64.4942061, -165.3842181
Tribal Government	Alaska		Bristol Bay Housing Authority	Bristol Bay Housing Authority Emergency Rental Assistance Program	Bristol Bay Housing Authority can provide up to 12 months of rent and/or utility relief to eligible Alaskans that reside in the Bristol Bay region due to the COVID-19 pandemic.	https://www.bristolbayhousingauthority.org/forms-copy		Program permanently closed	Bristol Bay Housing Authority	Single agency (public sector)	Unspecified	n/a	$5,890,845.86	Treasury ERA1 only	Both	15 months	12 months		Yes	15 months	electric, water, sewer, heating fuel, trash removal, internet	Yes	Relocation Expenses, Late Fees, Internet	Tenant	No		Prioritization required, Process not established on website		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card	Eviction Notice, Past Due Rent, Past due utility, living in overcrowded conditions, delying purchase of essential goods/service to pay for rent, relying on credit cards or payday lenders to pay for rent, depleting savings to pay for rent	Yes	Self-Attestation NOT Permitted		Categorical Eligibility	W-9/Payee Information	https://ac55af69-357a-440a-abb9-ecc4413924f0.filesusr.com/ugd/81e399_1754bdb40ca24f35b6148fbe355fc56c.pdf	https://www.bristolbayhousingauthority.org/forms-copy					6/17/2021	7/22/2022	Bristol Bay Housing Authority	59.04922200000001, -158.4582368
Tribal Government	Alaska		Copper River Basin Regional Housing Authority	Copper River Basin Regional Housing Authority Emergency Rental Assistance Program	Copper River Basin Regional Housing Authority can provide emergency rental and utility assistance for those impacted by the COVID-19 pandemic who meet certain eligibility criteria.	http://www.crbrha.org/ERAP2021%20Application.pdf		Accepting applications	Copper River Basin Regional Housing Authority	Single agency (public sector)	Unspecified	n/a	$2,809,535.03	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months		Yes	Relocation Expenses, Late Fees, Uncategorized Housing Expenses	Tenant	Unknown		Prioritization required, Process not established on website		Other	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card	Eviction Notice, Past Due Rent, Past due utility, living in overcrowded conditions, delaying purchase of essential goods/service to pay for rent, relying on credit cards or payday lenders to pay for rent, depleting savings to pay for rent	Unknown	Unknown		Unspecified	W-9/Payee Information	http://www.crbrha.org/ERAP2021%20Application.pdf						6/17/2021	7/22/2022	Copper River Basin Regional Housing Authority	62.15446559999999, -145.4683721
Tribal Government	Alaska		Interior Regional Housing Authority	Interior Regional Housing Authority Emergency Rental Assistance Program	The Interior Regional Housing Authority is providing rental assistance to eligible households who have experienced hardship due to COVID-19.	https://irha.org/emergency-rental-assistance-application/		Accepting applications	Interior Regional Housing Authority	Single agency (public sector)	Unspecified	n/a	$9,835,828.58	Treasury ERA1 only	Both	15 months	12 months		Yes	15 months	electric, gas, water, sewer, trash, heating costs	Unknown		Tenant	Yes		Unspecified		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease	Eviction Notice, Past Due Rent, Living in overcrowded conditions, unsafe due to domestic violence, delaying purchase of essential goods/service to pay for rent, relying on credit cards or payday lenders to pay for rent, depleting savings to pay for rent	Unknown	Self-Attestation Permitted	COVID Hardship, Housing Instability	Unspecified	W-9/Payee Information	https://irha.org/emergency-rental-assistance-application/						6/17/2021	7/22/2022	Interior Regional Housing Authority	64.8228039, -147.720174
Tribal Government	Alaska		Kenaitze Indian Tribe	Kenaitze Indian Tribe Treasury Emergency Rental Assistance Program	The Kenaitze/Salamatof Tribally Designated Housing Entity has a program for qualified Alaska Native and American Indians, who have disproportionately suffered from the impacts of the COVID-19 pandemic, to provide emergency rental assistance for the payment of rent, utilities, and arrearages.	https://www.kenaitze.org/services/housing/		Accepting applications	Kenaitze/Salamatof Tribally Designated Housing Entity	Single agency (public sector)	Unspecified	n/a	$1,139,223.16	Treasury ERA1 only	Both	12 months			Yes	12 months		Unknown		Tenant	Unknown		Prioritization required, Process established on website	Waiting list preference in order of priority: 1. Kenaitze/Salamatof Elder - Disabled 2.  Kenaitze/Salamatof Elder 3. Kenaitze/Salamatof Member - Disabled 4. Kenaitze/Salamatof Member 5. Alaska Native 6. American Indian	Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Tribal citizenship ID/enrollment card, Current Lease, SSN	Eviction Notice, Past Due Rent, Past due utility, unsafe or unhealthy living situation	Unknown	Self-Attestation NOT Permitted		Unspecified	W-9/Payee Information	https://www.kenaitze.org/services/housing/	https://www.kenaitze.org/wp-content/uploads/TERA-Application-2-sm.pdf					5/25/2021	7/22/2022	Kenaitze Indian Tribe	41.11719, -104.769355
Tribal Government	Alaska		Nome Eskimo Community	Nome Eskimo Community Emergency Rental Assistance Program	Do you need temporary help to avoid displacement due to financial hardship caused by the pandemic? Low-income NEC tribal members can apply for help with: Rent & rental arrears; Utilities & home energy costs & arrears; and Other housing-related expenses caused directly or indirectly by the COVID-19 pandemic	https://www.necalaska.org/emergency-rental-assistance-program/		Program permanently closed	Nome Eskimo Community	Single agency (public sector)	Unspecified	n/a	$971,046.04	Treasury ERA1 only	Both	12 months	12 months		Yes	12 months	Home energy, Heating Fuel, Propane	Yes	Relocation Expenses, Late Fees, Internet, Uncategorized Housing Expenses	Tenant	No		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Tribal citizenship ID/enrollment card, Current Lease, SSN		Yes	Self-Attestation Permitted	COVID Hardship, Income Non-Traditional	Unspecified	W-9/Payee Information							8/5/2021	7/22/2022	Nome Eskimo Community	64.5013249, -165.4033601
State	Arizona			Arizona Emergency Rental Assistance Program	In response to the COVID-19 pandemic, the federal Consolidated Appropriations Act, 2021 authorized financial rent and utility relief for Arizona renters and landlords to be administered at the state and local level. Beginning on Tuesday, February 23, 2021, renters and landlords in the twelve Arizona counties listed below will be able to apply for the Emergency Rental Assistance Program (ERAP) using the online ERAP portal. Applications will be accepted through the program’s expiration on December 31, 2021 or until funding is exhausted.	https://des.az.gov/ERAP	State of Arizona, Mohave County, Pinal County, and Yavapai County	Accepting applications	Arizona Department of Economic Security	Single agency (public sector)	Unspecified	n/a	$420,786,012.80	Treasury ERA1 and Treasury ERA2	Both	15 months		MONTHLY: $3,500	Yes		Electricity, gas, water, sewer, and trash removal	No		Both	Yes		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease	Eviction Notice, Past Due Rent, Utility shutoff notice, Past due utility notice, Other evidence of unsafe or unhealthy living conditions	Yes	Self-Attestation Permitted	COVID Hardship	Unspecified	W-9/Payee Information, Eviction Restrictions During Covered Period AND Future Months, Rental Ledger/ Lease, Must agree that tenant has not moved/ been moved, and currently resides at location	https://www.lakepowelllife.com/governor-announces-rental-assistance-program/	https://www.azfamily.com/news/governor-ducey-announces-new-emergency-rental-assistance-program/article_2cf1f57c-6adb-11eb-843e-0f4d0f41c9b2.html	https://kdminer.com/news/2021/dec/30/emergency-rental-assistance-money-supervisors-agen/				2/11/2021	7/22/2022	Arizona	34.0489281, -111.0937311
City	Arizona	Chandler		Chandler Community Action Program	If you can’t pay your rent, mortgage or utility bill, we can help. If you have experienced a loss of income or have unexpected expenses and are in need of assistance, the City of Chandler has funds that can help. If you’ve previously received rent/utility assistance, you are welcome to reapply for additional funding. Please apply for assistance through AZCEND’s Community Action Program or through the Chandler Salvation Army.	https://www.chandleraz.gov/government/city-managers-office/coronavirus-disease-2019-covid-19/resident-resources/eviction-prevention-assistance		Accepting applications	AZCEND Community Action Program, Salvation Army - Chandler Rental Assistance	Public-private collaboration	Unspecified	Intake support, application processing	$21,857,176.25	Treasury ERA1 and Treasury ERA2	Unknown	15 months			Yes			Unknown		Both	Unknown		Prioritization required, Process not established on website		Unknown	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease	Eviction Notice, Past Due Rent	Unknown	Unknown		Unspecified		https://azcend.org/community-action-program/						4/5/2021	7/22/2022	Chandler, Arizona	33.3061605, -111.8412502
City	Arizona	Gilbert		Gilbert Emergency Rental & Utility Assistance Program	The Gilbert Town Council voted to approve acceptance of $7.7 M in funds through the Consolidated Appropriations Act, 2021, a federal COVID-19 relief bill. These funds are to be used for Emergency Rental Assistance (ERA) services to assist Gilbert households that are unable to pay rent and utilities due to the COVID-19 pandemic and must be utilized by December 31, 2021. The $7.7M Gilbert received will be allocated to the following nonprofits to directly assist residents in need: $6,531,561 to AZCEND $1,200,000 to Save the Family	https://www.gilbertaz.gov/residents/community-and-neighborhood-services/community-resources/foreclosure-prevention-predatory-lending-information		Applications on hold/Waitlist	AZCEND and Save the Family CAP	Private-private collaboration	Unspecified	Application processing	$13,849,183.40	Treasury ERA1 only	Both	15 months			Yes	15 months	Electricity, gas, water, sewer, and trash removal	No		Tenant	Unknown		Prioritization required, Process not established on website		First-come first-served	80% AMI or less, Hardship due to COVID, Housing Instability, Multiple/Flexible IDs , Current Lease		Unknown	Unknown		Unspecified	W-9/Payee Information	https://www.gilbertaz.gov/residents/community-and-neighborhood-services/community-resources/foreclosure-prevention-predatory-lending-information#:~:text=Save%20the%20Family%2DRental%20Eviction,Rental%20Assistance%20funds%20(Treasury).&text=You%20may%20drop%20off%20completed,Drive%2C%20Mesa%2C%20AZ%2085201.						3/31/2021	7/22/2022	Gilbert , Arizona	29.4241219, -98.49362819999999
